,Ransomware_Group,Company_Name,Company_Description,Date_of_leak,Number_of_Views,Company_URL,Industry_Type,Company_Address,Company_Country,Personal Identifiable Information (PII),Financial Data,Healthcare Information,Employee and HR Data,Intellectual Property and Trade Secrets,Customer and Client Data ,Legal Documents,Government and Defense Information,Educational Data,Credentials and Access Information,Databases,Website Data,Backup Data,Video and Surveillance Footage,Social Media Data,Utility and Infrastructure Data,Sensitive Communication
68,Medusa,Open University of Cyprus,"The Open University of Cyprus (OUC) was established in 2002 and, as a public university, specializes in distance education, helping to bring Cyprus closer to achieving its strategic goal: to become a regional educational and research center and a center for international scientists and students in the Eastern Mediterranean basin. At the moment , more than 4,000 students are studying at the university , and the university is also engaged in scientific research activities",2023-04-06,15951,http://www.ouc.ac.cy,Higher Education,Nicosia,Cyprus,0,1,0,1,0,1,1,0,1,0,1,,,,,,
69,Medusa,Sonda,"SONDA, a Chilean multinational IT company headquartered in Santiago, is the leader of digital transformation in the region with more than 13,000 employees, presence in 11 countries and implementation of solutions in more than 3,000 cities.It is the biggest in the sector of Information technology in Latin America.",2023-04-03,18971,http://www.sonda.com,Information Technology & Services,Santiago,Costa Rica,1,0,0,1,1,1,1,0,0,0,1,,,,1,1,
70,Medusa,Gujarat Mineral,"Gujarat Mineral Development Corporation Limited (GMDC) is a large Indian state-owned mining and brown coal company based in Ahmedabad.GMDC was founded in 1963, its product range includes basic energy minerals such as brown coal, base metals and industrial minerals such as bauxite and fluorspar, as well as participates in the business related to oil refining.",2023-03-24,16806,https://www.gmdcltd.com/,Mining,"AHMEDABAD, Gujarat",India,1,0,0,1,1,1,1,0,0,0,1,,,,,,
71,Medusa,Atlas Security,"Atlas Security is the leading armed response company in Nelson Mandela Bay and Alexandria . The company has more than 150 qualified armed response officers, the largest fleet of armed response vehicles. Atlas Security's client base includes more than 30,000 controlled secure premises in the Eastern Cape Province, including large corporate clients.",2023-03-21,16906,http://www.atlasgroup.ae/our-companies/atlas-security/#,IT Services and IT Consulting,"Abu Dhabi, Abu Dhabi",United Arab Emirates,0,0,0,1,1,1,0,0,0,0,1,,,1,,1,
72,Medusa,National Institute of Ocean Technology,"The National Institute of Ocean Technology (NIOT) was established in November 1993 as an autonomous society under the Ministry of Earth Sciences in India. NIOT is managed by a Governing Council and is headed by a director. The institute is based in Chennai. The major aim of starting NIOT was to develop reliable indigenous technologies to solve various engineering problems associated with harvesting of non-living and living resources in India's exclusive economic zone, which is about two-thirds of the land area of India.",2023-03-16,16648,https://www.niot.res.in/,Engineering Services,"Tamil Nadu, Chennai",India,0,0,0,0,1,0,0,1,0,0,0,,,,,,
73,Medusa,Bishop Luffa School,"Bishop Luffa School, named after a former Bishop of Chichester, Ralph de Luffa, is a co-educational Church of England secondary school located in Chichester, West Sussex, England. On December 1, 2013, the school successfully received the status of an academy. At the moment, 1517 students aged 11 to 18 are studying.",2023-03-13,17149,https://www.bishopluffa.org.uk/,Primary and Secondary Education,"West Sussex, England",United Kingdom,1,1,0,0,0,1,0,0,0,0,0,,,1,,,1
74,Medusa,National Business Furniture,"National Business Furniture (NBF), founded in 1975, is an office furniture manufacturer headquartered in Milwaukee, Wisconsin. The company has additional offices in New York, Chicago, Los Angeles, Atlanta, Dallas, Phoenix and Seattle. In 2006, NBF was acquired by TAKKT AG, a leading direct marketing specialist for B2B business equipment in Europe and North America.",2023-03-09,17721,http://www.NBF.com,Furniture and Home Furnishings Manufacturing,"Milwaukee, WI",United States,0,1,0,0,0,1,1,0,0,0,1,,,,,,
75,Medusa,Garbarino SAICeI,"Garbarino, headquartered in Argentina, founded in 1951, is a retail company offering a wide range of products, including technology, appliances, furniture, sportswear, tools. Garbarino offers the most prestigious brands with over 5000 items.",2023-03-09,17110,https://www.garbarino.com/,Retail,Buenos Aires,Argentina,0,1,0,1,0,1,0,0,0,0,1,,,,,,
76,Medusa,Minneapolis Public Schools,"Minneapolis Public Schools (MPS) or Special School District Number 1 is a public school district serving students in pre-kindergarten through twelfth grade from Minneapolis, Minnesota. Minneapolis Public Schools enrolls 36,370 students in public primary and secondary schools. The district administers about one hundred public schools including forty-five elementary schools, seven middle schools, seven high schools, eight special education schools, eight alternative schools, nineteen contract alternative schools, and five charter schools. With authority granted by the state legislature, the school board makes policy, selects the superintendent, and oversees the district's budget, curriculum, personnel, and facilities. Students speak ninety different languages at home and most school communications are printed in English, Hmong, Spanish, and Somali.",2023-03-07,18434,http://www.mpls.k12.mn.us,Education Administration Programs,"Minneapolis, Minnesota",United States,1,1,0,1,1,1,1,0,1,0,1,,,,,,
77,Medusa,The Institute of Space Technology,"The Institute of Space Technology (also known as IST) is a public university located in Islamabad, Pakistan. IST space program aims at designing, building, launching and succesfully operating the Pico-Satellite standard CubeSat. The program is led by Communication Systems Engineering (CSE). Established in 2002 under the auspices of the Pakistan National Space Agency. IST offers a wide array of undergraduate and graduate degrees in partnership of Beihang University and University of Surrey.",2023-03-06,17108,http://www.ist.edu.pk,Higher Education,Islamabad,Pakistan,1,0,0,0,1,0,1,0,0,0,0,,,,,,
78,Medusa,Kenya Airports Authority,"Kenya Airports Authority (KAA) is the owner and operator of nine civilian airports and airstrips in Kenya. Kenya Airports Authority was established by an act of Parliament in 1992, by the ruling Kenya African National Union government. The KAA Act, Cap 395, provides for the powers and functions of the Authority. Its head office is on the property of Jomo Kenyatta International Airport in Embakasi, Nairobi.",2023-03-01,18449,http://www.kaa.go.ke,Aviation and Aerospace Component Manufacturing,"Nairobi, Nairobi",Kenya,1,0,0,0,1,0,1,1,0,0,0,,,,,,
79,Medusa,Bank of Africa,"* We have shared file tree. Direct download link here* Headquartered in the city of Dakar, Senegal, the story of Bank of Africa Group began in Mali in 1982, with the first Bank of Africa, which was created with almost no external help. Since 2010, the Bank of Africa Group has been majority-owned by BMCE Bank.",2023-02-25,28110,https://www.bankofafrica.ma/,Banking,"Casablanca, Casablanca - Settat",Morocco,1,1,0,0,0,1,1,0,0,0,1,,,,,,
80,Medusa,"Moose, Martin, Haynes & Lundy","For years, Moose, Martin, Haynes & Lundy, P.A. has been providing quality, personalized financial guidance to local individuals and businesses. Our expertise ranges from basic tax management and accounting services to more in-depth services such as audits, financia",2023-02-22,15680,http://www.mmhlcpa.com/,Financial Services,North Carolina,United States,1,1,0,1,0,0,0,0,0,0,1,,,,,,
81,Medusa,RAYAB Consulting Engineers,"RAYAB Consulting Engineers Company was founded in 1984. Taking advantage of hundreds of experienced experts’ cooperation , know – how and scientific experiences, the company has studied , designed and supervised, water and water transmission infrastructural projects, consulting and studying services for potable, agricultural and industrial water consumption, urban and industrial water distribution and wastewater collecting and disposal networks, water and wastewater treatment plants, environmental and health services and water resources conservation as large and small projects throughout Iran In addition to offices in Tehran, it has offices in Isfahan , Ghazvin, Takestan, Gorgan, Karaj, Ghom, Kashan, Delijan, Malayer , Ilaam , Ahwaz, Dezful, Babolsar, Bojnourd, Mashhad, Esfarayen, Kashmar, Birjand, Bandarabbas, Sirjan and Sare – Pole – Zahab",2023-02-22,14832,http://www.Rayabco.com,Civil Engineering,Tehran,Iran,0,1,0,0,1,0,1,0,0,0,0,,,,,1,
82,Medusa,International Center of Photography,"New York, 374 Employees. The International Center of Photography is the world's leading institution dedicated to photography and visual culture. Cornell Capa founded ICP in 1974 to champion ""concerned photography""-socially and politically minded images that can educate and change the world",2023-02-19,15062,http://www.icp.org,Photography,"New York, New York",United States,1,1,0,1,1,0,1,0,0,0,0,,,,,,
83,Medusa,AP Emissions Technologies,"Automotive Parts · North Carolina, United States AP® Emissions Technologies is one of the leading manufacturers and suppliers of automotive, light truck, and heavy-duty exhaust and emissions products under the AP®, DuraFit®, Eastern Catalytic®, CATCO ®, ANSA®, Cherry Bomb®, DieselTech™, DuraFit™, Maremont®, XLERA and much more.",2023-02-17,15422,http://www.apemissions.com,Motor Vehicle Manufacturing,"Goldsboro, NC",United States,0,1,0,0,1,1,0,0,0,0,1,,,,,1,
84,Medusa,Foamtec International,"The best of East and West - that is the strength of Foamtec International. Combining Western cutting edge technology with Eastern traditions of dedicated customer service, Foamex Asia was established in 1997 as a joint venture between Foamex International Inc.",2023-02-16,14121,https://www.foamtecintlwcc.com/,Environmental Services,"Waco, Texas",United States,0,1,0,1,1,0,0,0,0,0,1,,,,,1,
85,Medusa,PetroChina Indonesia,"PetroChina Indonesia is a company that operates in the Oil & Energy industry. It employs 251-500 people and has $25M-$50M of revenue. The company is headquartered in Jakarta, Jakarta, Indonesia",2023-02-15,14527,http://www.petrochinaintl.co.uk,Oil and Gas,Jakarta,Indonesia,1,1,0,0,1,1,1,0,0,0,0,,,,,,
86,Medusa,Tonga Communications,"Tonga Communications Corporation is a government-owned telecommunications provider offering mobile, fixed line, and internet services. It is based in Nuku'alofa. Tonga Communications Corporation Is Tonga's NO.1 cellular, fixedline & internet provider.",2023-02-11,13751,http://www.tcc.to,Telecommunications,Nukualofa,Tonga,1,0,0,0,1,0,1,0,0,0,0,,,,,,1
87,Medusa,Diethelm Keller Aviation Pte Ltd,"Diethelm Keller Aviation Pte Ltd (DKA), a global leader in galley inserts for the airline industry, is a wholly owned subsidiary of Diethelm Keller Brands Ltd. We are headquartered in Singapore.",2023-02-09,12917,http://www.diethelmkelleraviation.com/,Airlines and Aviation,Singapore,Singapore,0,0,0,1,1,0,0,0,1,0,1,,,,,,
88,Medusa,Eureka Casino Resort,"Eureka Casinos was founded by the Lee family in Las Vegas, NV. It operates a wide-ranging number of businesses, including Eureka Casino Resort in Mesquite, NV. The Lee Family sold it to the employees in 2015 making it Nevada's first 100% employee owned casino",2023-02-04,13994,http://www.eurekamesquite.com,Gambling Facilities and Casinos,"Mesquite, NV",United States,1,1,0,0,0,0,1,0,0,0,1,,,,,,
89,Medusa,EnCom,"Founded in 2001, EnCom Inc is a specialty producer of custom compounded high-performance polymers serving the automotive, transportation, electronic, consumer goods, lawn and garden equipment, medical, material handling, and industrial industries.",2023-02-03,11895,https://tron.fandom.com/wiki/ENCOM,IT Services and IT Consulting,Center City - California,United States,0,1,0,0,0,0,1,0,0,0,1,,,,,,
90,Medusa,PFA Systems,"PFA SYSTEMS, Inc. was started over thirty years ago with a single vision in mind, to provide reliable and safety conscientious service to our Suppliers and Drivers.This vision continues to carry on from day one when we were a single operator company, to our current fleet. We currently serve 14 states regionally and continuously work to establish trust between our clients and drivers.We specialize in Hazardous Bulk Liquid transport, but we are not limited to a single product. We integrate cutting edge safety practice and equipment to deliver the peace of mind our customers have come to rely upon and expect.",2023-02-03,11525,http://www.pfasystemsinc.com/,Truck Transportation,"Newberry, Florida",United States,1,1,0,1,1,1,1,0,0,1,1,,,,,,
91,Medusa,Elim Clinic,"Elim Clinic is a professional treatment centre that offers inpatient treatment to men and women, 18 years and older who suffer from substance use disorders and behaviour addiction. Elim has been in existence for more than six decades and has a wealth of experience",2023-02-03,11247,http://www.elimclin.co.za,Non-profit Organization Management,"Johannesburg, Gauteng",South Africa,1,1,0,1,0,1,1,0,0,0,0,,,,,,
92,Medusa,Elektro Richter,"Elektro Richter is a company that operates in the Electrical/Electronic Manufacturing industry. It employs 21-50 people and has $5M-$10M of revenue. The company is headquartered in Hildburghausen, Thuringia, Germany",2023-02-03,10713,https://elektro-richter.net/,"Appliances, Electrical, and Electronics Manufacturing","Hildburghausen, Thuringia",Germany,0,1,0,0,1,0,1,0,0,0,1,,,,,,
93,Medusa,European Window,"European Window Company is an Australian leader in the design and installation of high efficiency thermal break windows, doors and sliding systems.",2023-02-02,10310,http://www.eurowindow.com.au,Wholesale Building Materials,"Melboune, Victoria",Australia,0,1,0,0,1,0,1,0,0,0,1,,,,,,
94,Medusa,EightPixelsSquare,"Founded in December 2012 and based in Derby, United Kingdom, EightPixelsSquare comprises of an elite team of 45 veteran game developers. Over 30 million players worldwide enjoy EightPixelsSquare's catalogue of games across iOS and Android platforms",2023-01-25,11029,https://eightpixelssquare.com/,Software Development,Derby,United Kingdom,1,1,0,1,1,0,0,0,0,0,0,,,,,,1
95,Medusa,Aglobis,"Resistance shall not prevent us from fulfilling below mission: We connect industries for their sustainable operation and growth! Above services to be provided on a long term basis, i.e. indefinitely which is represented by the similar symbol in our logo Aglobis",2023-01-20,10392,https://www.aglobis.com/,"Transportation, Logistics, Supply Chain and Storage",Zug,Switzeland,1,1,0,1,1,0,1,0,0,0,1,,,,,,
96,Medusa,Integerity Tax,"Small business accounting, tax preparation, bookkeeping, payroll, individual taxes",2023-01-11,9947,http://www.integritytaxlb.com,Accounting,"Long Beach, California",United States,1,1,0,1,1,1,0,0,0,0,0,,,,,,
97,Medusa,Grace Church International,We Believe the Bible is God's supreme authority of the church and that prayer builds a relationship with God. We believe that faith empowers one to believe the impossible. That family is the foundation of the church and each person has a uniquely designed purpose,2023-01-11,9916,gracechurch.com,Religious Institutions,"Wichita Falls, Texas",United States,0,1,0,0,0,0,0,0,0,0,0,,,,,,
