,Company,Company Description,Date Victimised,Number of Clicks,Status
272,bbrook.org,Bound Brook School District administrator@vsphere.local f0Rm#l@C$ bb-vcenter7.bbrook.edu,2023-10-14 10:16:00,14910,Published
273,absolutecal.co.uk,Welcome to Absolute Calibration Originally founded in 1967 Absolute Calibration has evolved from an excellent pedigree and is now the leading independent calibration and repair laboratory in the UK. We are committed to providing the best calibration...,2023-10-14 10:16:00,19933,Published
274,tilg.at,High quality window systems Individual sun protection solutions Whole glass and conservatories Front doors and interior doors Professional assembly according to the latest state of the art,2023-10-14 10:07:00,19569,Published
275,aquidneckclub.com,"The Aquidneck Club combines first class amenities with a casual, family-friendly culture and personalized service. This luxurious private club features an 18-Hole Championship Golf Course, Waterfront Dining, Tennis Courts, Fitness Center, Wellness Sp...",2023-10-14 10:16:00,18075,Published
276,gizavc.com,57gb,2023-10-14 10:09:00,24175,Published
277,airtac.com,190gb,2023-10-14 10:10:00,21882,Published
278,euskaltel.com,29gb,2023-10-14 10:10:00,25447,Published
279,ste-usa.com,"HISTORY Over fifty years ago, STE set out to deliver a higher standard of engineering and manufacturing excellence in the liquid tank industry. From humble beginnings in a garage in South Central Wisconsin, to today in a factory based in Beloit, Wis...",2023-10-14 10:10:00,43696,Published
280,flybtr.com,"BTR's History In the summer of 1939, East Baton Rouge Parish began studying sites for a new airport that could accommodate longer runways to replace the downtown airport on Goodwood Boulevard. The site of the current Baton Rouge Metro Airport was ch...",2023-10-14 10:11:00,21097,Published
281,granules.com,"Granules India is a company that does not know what cybersecurity and data protection are, during the pentest of its corporate network we found more than 10 critical vulnerabilities that allowed access to its private data. Moreover, this company re...",2023-10-14 10:12:00,19217,Published
282,primeretailservices.com,"Prime Retail Services began providing retail fixture installations and décor in 2003 and gradually expanded its portfolio to include retail construction. In our years of experience, we’ve worked with all kinds of retailers–large, small, super stores,...",2023-10-14 10:13:00,20567,Published
283,surfsidefoods.com,"Based in Port Norris, N.J., Surfside Foods is now the leader in harvesting and processing sustainable clams. Our exclusive focus on supplying Ocean Quahog (Arctica islandica) and Atlantic Surf (Spisula solida) clams and clam juice ingredients at indu...",2023-10-14 10:13:00,19845,Published
284,gslelectric.com,"GSL performs on a diverse range of project types for both public and private clients—including commercial, industrial, institutional, manufacturing, site utility, and power line-substation projects. GSL Electric’s expertise in pre-construction, value...",2023-10-14 10:13:00,20317,Published
285,eriematerials.com,"Established in 1973, Erie Materials distributes building materials, such as roofing, siding, windows, doors, decking, manufactured stone veneer and gutters, for residential and commercial exteriors. It serves professional contractors and architects.",2023-10-14 10:14:00,19738,Published
286,ai-thermal.com,"Air International was founded in Australia in 1967 by Owen John, after he built an air conditioner for his own Jaguar and discovered the demand for it among other luxury car owners. Since then, we have grown all over the world. We run lean manufactu...",2023-10-14 10:23:00,44076,Published
287,pneusbeaucerons.com,"Les Pneus Beaucerons is your tire specialist for all sizes. Whether it's for a car, light truck, tractor, trailer, construction equipment or any other wheeled vehicle, we can meet your needs. Our state-of-the-art equipment, combined with nearly 60 ye...",2023-10-14 10:16:00,18722,Published
288,gruppomercurio.com,Leading vehicle transport company by over 50 years. HO based in Italy and present with direct subsidiaries or JV in all European Countries (EU),2023-10-14 10:16:00,21874,Published
289,wsisd.net,White Settlement Independent School District,2023-10-14 10:17:00,20001,Published
290,knipmeijerenblok.nl,"We can help you with a whole range of expertise such as various types of electrical installations, security solutions, various ICT applications and rapidly developing sustainability innovations. Of course we like to look with you from the start, but...",2023-10-14 10:17:00,19767,Published
291,irda.com.my,Iskandar Regional Development Authority,2023-10-14 10:18:00,20007,Published
292,aek.mk,"Our mission is to create favourable conditions for effective and sustainable competition in the electronic communications market to serve the interests of users, the economy and the communications industry, through effective, transparent, appropriate...",2023-10-14 10:19:00,49920,Published
293,manfil.com.br,"Manfil Ferro e Aço started its activities in 2000 with the name of Coferpa Ferro e Aço and with 21 years in the market, it currently offers its customers a structure with 10,000 m² of built area, a scale from 25 mts to 100 tons, rebar frame service w...",2023-10-14 10:24:00,17991,Published
294,mundocuervo.com,"Tequila is a Jalisco product that is part of our national identity. Synonymous with this is our prestigious and recognized Casa Tequilera Jose Cuervo, a company with more than 250 years of history and tradition, which has managed to cross borders, ex...",2023-10-14 10:21:00,17854,Published
295,conseildelentente.org,"Created on 29 May 1959, the Council of the Entente is the oldest of West African sub-regional institutions. At the initiative of Felix Houphouët Boigny (Côte d'Ivoire), four Heads of State signed the Constitutive Act of the Council of the Entente.",2023-10-14 10:21:00,17753,Published
296,newhorizonsmedical.org,"The mission of New Horizons Medical is to provide patients with compassionate, comprehensive, and evidence-based treatments for substance use disorders and psychiatric diagnoses. Each and every patient is treated as an individual with distinctive req...",2023-10-14 10:21:00,17602,Published
297,realcomp.com,"Realcomp II Ltd. is proud to be Michigan’s largest Multiple Listing Service delivering cutting-edge, real-time MLS data services, support, & training to the real estate industry. Our Mission Statement: Driven by integrity, Realcomp delivers great...",2023-10-14 10:23:00,17316,Published
298,screenline.co.za,is a leading manufacturer of screen advertising since 1971. Specializes in outdoor and indoor screens as well as digital advertising solutions,2023-10-14 10:23:00,18471,Published
299,pittsburg.k12.ca.us,"Pittsburg Unified School District is a public school district based in Contra Costa County, California, United States. usd250.k12.ks.us\sql_admin:PeekABoo",2023-10-14 10:25:00,17673,Published
300,pentechsolution.com.my,pentechsolution.com.my,2023-10-14 10:25:00,17303,Published
301,progen.com.br,Mais de 5.000 projetos realizados para os maiores players do mercado nacional e internacional em 35 anos,2023-10-14 10:26:00,14522,Published
302,birdair.com,"Birdair is the leading specialty contractor for custom tensile fabric structures throughout the world. With more than 65 years of experience, Birdair has worked with owners, architects, engineers and contractors to design and build custom tensile...",2023-10-14 10:26:00,16947,Published
303,mariohernandez.com.co,"Mario Hernández is a Colombian fashion house dedicated to the manufacture of luxury leather accessories based in Bogotá D.C. It is named after its founder, Mario Hernandez",2023-10-14 10:27:00,19783,Published
304,payday.com.pa,"PayDay es una herramienta versátil, realizamos enlaces con programas contables, controles de marcación, ACH, CSS, DGI y mucho más. Contáctenos. SOSACIA\administrator Sp3C1al_K9ac!#pbS0-s4**!## \serverbackup S0S4!{L?aq4W3#g;jn0D3* \\192.1...",2023-10-14 10:28:00,19587,Published
305,dalvikurbyggd.is,"Dalvíkurbyggð er sveitarfélag, staðsett við Eyjafjörð að vestanverðu. Sveitarfélagið skiptist upp í byggðakjarnana Dalvík, Árskógssand og Hauganes og búset.",2023-10-14 10:28:00,19229,Published
306,ourrelentlesschurch.com,"Relentless Church exists to share the news of Jesus Christ, disciple people, and build the whole person: mind, body & soul.",2023-10-14 10:29:00,15925,Published
307,vcclawservices.com,"Vivien Chan & Co. is a full-service law practice with offices in Hong Kong (1985) and Beijing (1993). We are consistently recognized as a premier law firm for and in Greater China. With over 35 years of doing business in Greater China, our Hong Kong...",2023-10-14 10:29:00,16122,Published
308,summerweine.at,Josef Summer's Erben Weinkellerei,2023-10-14 10:07:00,15350,Published
309,baffetmateriaux.fr,Sale of building materials,2023-10-14 10:26:00,14919,Published
310,bintangindokaryagemilang.co.id,A manufacturing company engaged in the production of footwear/shoes with the Adidas brand.,2023-10-14 10:08:00,16499,Published
311,saragroup.in,Sara Suole Pvt. Ltd. is India’s largest Builtup Sole manufacturer and one of its leading manufacturers of shoes and leather.,2023-10-14 10:26:00,14846,Published
312,wjtowell.com,"Towell Group is at the heart of Oman’s industry, business, and commerce. We also have our setup in UAE and India. We’re committed to a successful and prosperous future for our region and beyond.",2023-10-14 10:09:00,14913,Published
313,jeloin.se,Jeloin Data AB is a company that operates in the Computer Software industry.,2023-10-14 10:09:00,14236,Published
314,iprac.com,"RPI is source to the metro-Atlanta and Southeastern territories as a trusted provider of design software and solutions, industry-leading imaging technology, and world-renowned implementation and training services.",2023-10-14 10:09:00,14187,Published
315,stimgroup.it,"STIM builds high-tech plants for the industrialization of innovative products and processes, with particular reference to the food sector. STIM creates process plants and production lines that are unique on the market. STIM is also active in the fiel...",2023-10-14 10:25:00,15152,Published
316,icae.net,This organization primarily operates in the Computer Related Consulting Services business industry within the Business Services sector.,2023-10-14 10:09:00,13943,Published
317,villemandeure.fr,General government administration.,2023-10-14 10:09:00,14563,Published
318,borwafs.co.za,"Independent financial services company with a national footprint. Provider of quality selected financial products, services and consulting services. Work with individuals and groups to achieve excellent results for our fund administration clients. Co...",2023-10-14 10:11:00,14296,Published
319,jacquart.fr,"Factories develop and manufacture: solid wooden bed bases with slats and flexible slats, box springs, box springs, bed bases with electric adjustable heads and feet.",2023-10-14 10:19:00,14159,Published
320,tmd.go.th,The Thai Meteorological Department (TMD) is the Thai governmental agency responsible for weather forecasting and monitoring. It is an agency of the Ministry of Digital Economy and Society.,2023-10-14 10:10:00,14130,Published
321,etships.com,"Specializing in expedite, rush-critical, and time-sensitive freight, our fleet of tractors, straight trucks, and sprinters are always on standby. Specializing in expedite, rush-critical, and time-sensitive freight, our fleet of tractors, straight...",2023-10-14 10:10:00,13406,Published
322,newarka.edu,"Newark Academy is a private day school for grades 6 through 12, offering both the IB program and AP courses",2023-10-14 10:11:00,12510,Published
323,fredfeet.com,"Fredericksburg Foot & Ankle Center are board-certified podiatrists in Fredericksburg, VA. Our doctors diagnose & treat all sports injuries & trauma injuries",2023-10-14 10:10:00,12167,Published
324,uhsp.edu,UHSP is the nation's third leading private college of pharmacy for NIH grants. 96%. RECEIVE FINANCIAL AID,2023-10-14 10:10:00,13290,Published
325,nosm.ca,"Northern Ontario School of Medicine University is a public medical university in the Canadian province of Ontario. It is mandated both to educate doctors and to contribute to care in Northern Ontario's urban, rural and remote communities, and has cam...",2023-10-14 10:10:00,12050,Published
326,harwoodlloyd.com,"Harwood Lloyd, LLC is a full-service law firm that proudly serves international, national, regional, and individual clients, offering the personal attention and service of a boutique with the experience and quality of a large national firm.",2023-10-14 10:10:00,15068,Published
327,packageconcepts.com,"Package Concepts and Materials, Inc. opened for business in 1980 with the goal of bringing a new standard of innovation and excellence to the food packaging industry.",2023-10-14 10:11:00,14506,Published
328,fsd.se,"Sweden’s first private fire consulting company was founded by Dr. Yngve Anderberg in Lund in 1977. In the early years, FSD’s main focus was on research and structural fire protection. The first four employees were hired in 1985. Over time, the bus...",2023-10-14 10:11:00,14623,Published
329,voyageursdumonde.fr,"Headquarters: 55 Rue Sainte Anne, Paris, Ile-de-France, 75002, France Phone Number: +33 142861600 Website: www.voyageursdumonde.fr Revenue: $160M Stock Symbol: ALVDM Voyageurs du Monde SA operates as a travel agency in France and international...",2023-10-14 10:11:00,18192,Published
330,arnoldoilco.com,Arnold Oil Company has been serving customers in South Texas since 1939. What began as an oil warehouse in the early years eventually turned into the largest distributor of automotive parts and lubricants in South Texas. Arnold Oil Company successfu...,2023-10-14 10:11:00,17478,Published
331,ultimateimageprinting.com,"Founded in 1980, Ultimate Image Printing is a full service commercial printing company located in Orange County, California.",2023-10-14 10:12:00,17464,Published
332,fams.net,"FAMS Recovery Solutions, headquartered in Woodstock, Georgia, and established in 1993, is a debt collection agency. Their services include first-party collections, third-party collections, and skip-tracing & USA",2023-10-14 10:14:00,18354,Published
333,kyocera-avx.com,"AVX is an international manufacturer and supplier of a vast portfolio of advanced electronic components, USA",2023-10-14 10:13:00,18271,Published
334,globalinfovision.com,"Welcome to Global InfoVision. We are a leading provider of various Information Technology solutions and data services. Since 1996, we are actively involved in Software Development Services and IT/BPO solutions including Litigation Support. We offe...",2023-10-14 10:13:00,10858,Published
335,joysonsafety.com,"20 terabytes of joysonsafety.com data for sale in one hands at $1 million. To purchase, write tox https://tox.chat/download.html 3085B89A0C515D2FB124D645906F5D3DA5CB97CEBEA975959AE4F95302A04E1D709C3C4AE9B7 Full tree of files for sale http://lockb...",2023-10-14 10:13:00,17747,Published
336,spectre.dk,"https://www.spectre.lv/ https://www.spectre.dk/ https://arcteryx.com/fr/fr/explore/supply-chain-partners/spectre-garment-technologies-vietnam The company’s owners, Danish brothers Jesper and Jacob Klausen are inventive problem solvers, using las...",2023-10-14 10:21:00,17357,Published
337,rmc-canada.com,RMC Resources Management Consultants (Alberta) Ltd,2023-10-14 10:16:00,18023,Published
338,diasporacs.org,"Diaspora Community Services is a social support service agency that empowers families and individuals to maximize their abilities to succeed through culturally sensitive health promotion, family support services and advocacy.",2023-10-14 10:16:00,16190,Published
339,abe-brands.de,"PROZESSE EINFACH MACHEN! C Artikel Management Unternehmer wissen: Oft sind es die kleinen Dinge, die am Längsten aufhalten. Kluge Einkäufer vertrauen daher bei Beschaffung und Management sogenannter C-Teile auf die Full Service-Kompetenz der AB...",2023-10-14 10:13:00,16245,Published
340,ebdlab.com,"We welcome all your cases – from single units and simple cases, to full-mouth restorations which may be esthetically or functionally complex. We believe in supporting dentists and dental technicians who strive to be at the top of their profession. It...",2023-10-14 10:14:00,16293,Published
341,csagh.org,"Founded in 2017, The Christian School Association of Greater Harrisburg is a district of Christian schools that teach children ages K-12. Their main office is based in Harrisburg, Pennsylvania.",2023-10-14 10:14:00,15031,Published
342,antea.es,"From 1900 25 years leading the digital transformation of companies from Spain, based on optimization and cybersecurity . Offices in Spain (1997), Mexico (2009) and projection of new openings in Latam .",2023-10-14 10:16:00,18933,Published
343,metalnet.nl,"Metalnet is a high-level supplier of machining operations. With our divisions for high-precision precision components and cost-effective fine mechanical parts, we are able to produce customer-oriented solutions for the most diverse industrial sectors...",2023-10-14 10:14:00,17342,Published
344,shoreregional.org,,2023-10-14 10:14:00,16987,Published
345,enovationcontrols.com,"first part of data Enovation Controls operates today as a stand-alone subsidiary of Helios Technologies [NASDAQ: HLIO] (formerly Sun Hydraulics Corp.). With an internationally diverse team of over 300 employees, we serve customers around the world...",2023-10-14 10:14:00,16940,Published
346,plastictecnic.com,"In the year 1976, Plastictecnic was founded by a group of businessmen as a private company that specializes in plastic injection business. Over the past 43 years, Plastictecnic has grown steadily with the Malaysian economy and has strongly positioned...",2023-10-14 10:14:00,17632,Published
347,tec-mex.com.mx,Your negotiator drags out the negotiations. We advise you to change it.,2023-10-14 10:14:00,19963,Published
348,fabeckarchitectes.lu,"FABECKARCHITECTS is competitive in the fields of architecture, urban planning, rehabilitation and renovation, interior architecture and design.",2023-10-14 10:15:00,23144,Published
349,ddmontaza.hr,"Constructing and erecting power, petrochemical and industrial plants, bridges and steel structures.",2023-10-14 10:16:00,23167,Published
350,midipapierspeints.fr,"Our family adventure began in 1951 in Toulouse, around a passion, that of painting , wallpaper and wall and floor coverings , and an ambition: to provide quality products to professionals as well as to individuals. . Today, the friendly and family s...",2023-10-14 10:15:00,21345,Published
351,sunray.com.sg,"SUNRAY WOODCRAFT CONSTRUCTION - Singapore's Leading Construction Company Some of our iconic projects include Resorts World Sentosa and Marina Bay Sands, whose prominent structures stand out in Singapore’s city skyline, reflecting the high standard o...",2023-10-14 10:15:00,12974,Published
352,chinadailyhk.com,"About China Daily Founded in 1981, China Daily covers over 35 million readers and users worldwide through diversified platforms, including newspapers, websites, and mobiles and social media. The number of China Daily's followers has now reached over...",2023-10-14 10:16:00,16414,Published
353,bankbsi.co.id,"Our recommendations to all customers who suffered from the irresponsibility and incompetence of these people: 1. Most importantly, stop using BSI. These people do not know how to protect your money and personal information from criminals. They cou...",2023-10-14 10:16:00,60239,Published
354,norcorp.com,"Founded in 1908, Northern Engraving Corporation is a leading supplier of nameplates and decorative trim to a variety of markets. Value-added services include in-house Design, Engineering, Program Management.",2023-10-14 10:16:00,16872,Published
355,mundo-r.com,"1 part 3TB of data downloaded. Financials, legal documents, customer, employee, and more. Also, about 100gb of euskaltel.com data was downloaded from this network. These will be published in the next post. R cable Spain is an operator of teleco...",2023-10-14 10:16:00,16799,Published
356,tool-temp.net,"Tool-Temp Limited is the sole UK distributor for the highly respected Swiss-made Tool-Temp range of temperature control devices. The company is recognised as a leading technical authority on process temperature control, with a strong track record...",2023-10-14 10:16:00,15295,Published
357,pikenursery.com,"We strive to take the guesswork out of gardening by providing our communities with the best horticultural knowledge, the best assortment of quality plants and garden related products that thrive in our climate, and thoughtful customer service. We are...",2023-10-14 10:16:00,15072,Published
358,troteclaser.com,"Trotec Laser makes laser users’ work simpler, faster and more profitable by setting new standards in laser machines.",2023-10-14 10:17:00,15462,Published
359,weberweber.at,72 Jahre Versicherungserfahrung und 56 Jahre Wirtschaftskompetenz stehen Ihnen bei Weber & Weber zur Verfügung. Das geballte Know-how im Dienst unserer Kunden erlaubt uns zu agieren anstatt zu reagieren und somit Ihr Risiko zu minimieren.,2023-10-14 10:26:00,19552,Published
360,prolinerrescue.com,"Proliner is an independently owned and operated family business. Our staff is comprised of highly experienced, knowledgeable certified technicians. We take the time to know our customers needs. When you deal with us, you're not just a number, you're...",2023-10-14 10:17:00,15636,Published
361,viseg.com,"We are leaders in the distribution of safety glass products. Company established since 1962, located in the industrial area of Funza. VISEG, has a monthly production capacity of 40,000 M2 tempered and 30,000 M2 laminated. Generating 97 direct jobs,...",2023-10-14 10:17:00,16182,Published
362,vuteq.mx,"We are a japanese company dedicated to the manufacturing of Door Trims, Consoles, Headliners and automotive interiors in general. Our process capabilities include plastic injection molding, upholstery cutting, sewing, wrapping, painting, automatic a...",2023-10-14 10:17:00,17292,Published
363,goforcloud.com,"At Go For Cloud, you can count on a no-nonsense IT consulting team specialising in cloud solutions and flexible digital workplaces. We help you define your IT strategy and look for solutions that perfectly match your business needs. Our consultants w...",2023-10-14 10:17:00,25356,Published
364,gocontec.com,"first part of data. Contec Holdings provides repair services to satellite, cable & IP based system operators, B2B, B2C, and E-commerce order fulfillment and logistics services, and in or out of warranty repair services for OEMs.",2023-10-14 10:17:00,17607,Published
365,mbwswim.com,"LEADING GLOBAL SWIMWEAR, RESORTWEAR AND LOUNGEWEAR DESIGN AND MANUFACTURING COMPANY Manhattan Beachwear’s design headquarters is based in Orange County, California. We proudly design beautiful swimwear and resortwear. Our brands include: La Blanca,...",2023-10-14 10:17:00,17152,Published
366,interfides.de,"interfides Steuerberatungsgesellschaft mbH was established in 1978, and specialises in providing advisory services to foreign clients with a business presence in Germany.",2023-10-14 10:18:00,16783,Published
367,hk-finance.pl,"LEADING PROVIDER OF ACCOUNTING, HR & PAYROLL, AND FINANCIAL CONSULTANCY SERVICES",2023-10-14 10:18:00,17058,Published
368,namibmills.com,"Namib Mills Ltd, established in 1982, is the largest grain processing company in Namibia. It produces flour, pasta, animal feeds and other products from raw materials including maize, much of which is imported, and local varieties of pearl millet (ma...",2023-10-14 10:18:00,17273,Published
369,layherna.com,"Layher North America is a company that operates in the Construction industry. It employs 251-500 people and has $50M-$100M of revenue. The company is headquartered in Houston, Texas.",2023-10-14 10:18:00,19882,Published
370,fullertonindia.com,"Founded in 1994 and headquartered in Mumbai, India, Fullerton India Credit Company Limited provides financial solutions. The Company offers commercial vehicle, home improvement, personal, and property loans. As a result of a successful attack on t...",2023-10-14 10:18:00,54638,Published
371,triaflex.at,Welcome to TRIAFLEX We design the ergonomic living space work!,2023-10-14 10:19:00,19138,Published
372,cydsa.com,"Cydsa, S.A.B. de C.V., together its subsidiaries, engages in the production and marketing of salt, chlorine, caustic soda, and refrigerant gases in Mexico, the United States, Canada, Central and South America, Asia, and Europe.",2023-10-14 10:19:00,19556,Published
373,multimedica.it,"The MultiMedica Group First of all there is Ethics. It is not limited to a series of principles to be followed, but constitutes the overall vision of MultiMedica's activities, its mission, its raison d'être. And ethics means putting people and their...",2023-10-14 10:23:00,58009,Published
374,hasenauer-anlagenbau.at,"QUALITY IS THE BEST When it comes to water, heating, cooling, air and climate, we always get to work with fresh wind and full motivation. We offer the highest professional quality at all levels – from planning to implementation. There is no differe...",2023-10-14 10:20:00,19079,Published
375,cloud51.com,Cloud 51 Data Solutions focuses on delivering proactive and preventative IT support and service solutions to small businesses locally and nationwide. It now serves more than 60 companies that have all been hacked. Each company had all their confiden...,2023-10-14 10:20:00,20398,Published
376,tvh.com,"data part #1 TVH is a global player in parts for forklifts, industrial vehicles, construction and agricultural machinery.",2023-10-14 10:20:00,19903,Published
377,baughmanco.com,"In 1930, Clyde Baughman founded Baughman (pronounced BOFF-man) with the goal of creating an honest, reliable company that would make a difference. When Clyde planted the company’s roots in Wichita, he had bigger ambitions than to simply become succes...",2023-10-14 10:25:00,19970,Published
378,stuertz.com,Stürtz designs and manufactures a wide variety of window manufacturing solutions today and looks forward to developing new solutions as our markets continue to mature.,2023-10-14 10:20:00,23086,Published
379,olympia.org,"Please forgive me for allowing the attack on small innocent children, the stolen data has been deleted, to get the decryptor please give me the decryption id. I am very ashamed, but I can not control all partners, anyone can join my affiliate program...",2023-10-14 10:20:00,20839,Published
380,keystonesmiles.org,"Please forgive me for allowing the attack on small innocent children, the stolen data has been deleted, to get the decryptor please give me the decryption id. I am very ashamed, but I can not control all partners, anyone can join my affiliate program...",2023-10-14 10:20:00,20512,Published
381,bg2i.fr,Bg2i is a company that operates in the Professional Training & Coaching industry. It employs 11-20 people and has $1M-$5M of revenue. The company is headquartered in France,2023-10-14 10:20:00,20556,Published
382,cdcbmestihl.com,"CDC BME STIHL Distributor is a distributor of STIHL outdoor power equipment. Marble Hill, Missouri, United States",2023-10-14 10:20:00,20019,Published
383,fsdc.org.hk,Credit Cards & Transaction Processing Financial Services Development Council is a company that operates in the Financial Services industry. It employs 11-20 people and has $10M-$25M of revenue. The company is headquartered in Hong Kong.,2023-10-14 10:23:00,20320,Published
384,silbon.es,"SILBON is a men's fashion brand. It is geared towards updating classic men’s style, with a focus on formalwear. The company also has an online store that provides services internationally. Ven y descubre todas las secciones de nuestro blog: Stree...",2023-10-14 10:21:00,19887,Published
385,imanor.gov.ma,Institut Marocain de Normalisation IMANOR,2023-10-14 10:21:00,20281,Published
386,gruponutresa.com,"Grupo Nutresa, formerly Grupo Nacional de Chocolates S.A. is a food-processing conglomerate headquartered in Medellín, Colombia. The group's principal activities are producing, distributing, and selling cold cuts, biscuits, chocolates, coffee, ice cr...",2023-10-14 10:21:00,19957,Published
387,logicalsolutions.bc.ca,"Logical Solutions is a full service systems contractor and integrator that employ trained sales people, systems specialists, field technicians and project managers. We handle communications projects from conceptual design to complete and operational...",2023-10-14 10:21:00,20191,Published
388,conver-pack.com,"ConverPack is a leading global manufacturer of single-use hot and cold paper cups and accessories. Since 2010, we have provided our customers with the highest quality and most cost-effective wholesale paper products made in the United States. Locate...",2023-10-14 10:21:00,15744,Published
389,abro.se,136gb,2023-10-14 10:22:00,8109,Published
390,baffetmateriaux.fr,Chain selling construction and DIY materials and interior and exterior fittings.,2023-10-14 10:22:00,17180,Published
391,tiger.jp,"Tiger Corporation (lit= Tiger Vacuum Flask [Magic-jar] Corporation) is a Japanese manufacturer that applies vacuum insulation and heat control technology to consumer electronic appliances. Their headquarters are located in Kadoma City in Osaka, Japan",2023-10-14 10:22:00,21449,Published
392,kse.org.kw,The Kuwait Society of Engineers is an independent professional society that represents engineers in Kuwait,2023-10-14 10:22:00,20690,Published
393,yateemgroup.com,"Yateem Optician has been in the vision care industry for over a century now. Spread across the Middle East with over 80 state-of-the-art showrooms, we cater to a diverse clientele. Experienced optometrists, availability of quality ophthalmic lenses",2023-10-14 10:22:00,16716,Published
394,apolloscientific.co.uk,"Specialists in the manufacture and supply of aromatic, heterocyclic and aliphatic compounds, fluorochemicals and life sciences reagents, offering unrivalled service and expertise in the sourcing and manufacture of available and novel products.",2023-10-14 10:22:00,16646,Published
395,gpglobal.com,"GP Global enables economic development by offering bespoke solutions to satisfy the commodity needs of businesses and communities worldwide. GP Global is an integrated energy services provider, product manufacturer and a recognised brand globally.",2023-10-14 10:23:00,16549,Published
396,esinsa.com,Esinsa is a company that operates in the Machinery industry. It employs 21-50 people and has $10M-$25M of revenue.,2023-10-14 10:23:00,19616,Published
397,bigc.co.th,"Big C is a grocery and general merchandising retailer headquartered in Bangkok, Thailand. Big C is as of 2016 Thailand's second-largest hypermarket operator after Lotus's. It has operations in four countries, namely Thailand, Vietnam, Laos and Camb...",2023-10-14 10:23:00,25563,Published
398,garrottbros.com,"Since 1950 the Garrott family has owned and operated the ready mix business in middle TN. Starting from just 2 mixers, Garrott Bros Ready Mix has grown into a multi plant and mixer operation. We look forward to continued growth and support by leading...",2023-10-14 10:23:00,16404,Published
399,tf-amd.com.my,"TF-AMD Microelectronics (Penang) Sdn. Bhd. (formerly known as AMD Export Sdn. Bhd.) located in Penang, Malaysia is one of the state-of-art Assembly and Test service provider for high performance computing and communication solutions. As one of the pi...",2023-10-14 10:23:00,31044,Published
400,soapro.ao,"The Soapro Group is an Angolan Group with 29 years of experience in the fields of architecture, engineering, urban planning and environment, operating in the areas of studies and projects, construction management, consulting and auditing..",2023-10-14 10:23:00,21507,Published
401,pkffinconta.ro,"The PKF Finconta Group consists of four companies with Romanian capital: PKF Finconta, PKF Finconta Consultanță, PKF Finconta HR, and Finconta Consulting SPRL, members of the national professional bodies CECCAR, CAFR, CCFR and UNPIR. Through these co...",2023-10-14 10:23:00,17284,Published
402,ibp.com.br,"Founded in 1971, Indústria de Bebidas Paris began its history called Caninha da Roça Indústria e Comércio Ltda, for developing Caninha da Roça cachaça, currently the most consumed caninha in Rio de Janeiro. It was only in 1998 that the company was re...",2023-10-14 10:23:00,20954,Published
403,soshin.co.jp,"Soshin Electric has been providing capacitors, filters, circuit parts, etc. to the market for 84 years since its establishment. These are used in a wide range of fields, from various power infrastructures and industrial equipment to personal terminal...",2023-10-14 10:24:00,22198,Published
404,hammondlumber.com,"Hammond Lumber Company was founded in 1953 by Skip and Verna Hammond with a single sawmill. Today, our 4th generation family business carries a full line of building materials, millwork, kitchen/bath/flooring, home planning design centers and a quali...",2023-10-14 10:24:00,17433,Published
405,tubosreunidosgroup.com,"We develop and manufacture seamless steel tubes in stainless steel, high-alloy and carbon grades for all processes and requirements.",2023-10-14 10:25:00,17441,Published
406,telepizza.com,Part1: http://wgsobyvl6swhmr6buwxhhoqxrlcti6j7e2wlensfpoce52erwudktdyd.onion/telepizza/telepizza_part1.zip,2023-10-14 10:25:00,18535,Published
407,intuview.com,"IntuView is an innovative software company, dedicated to development of ""artificial intuition"" software for real-time analysis of unstructured text in domains relating to Homeland Security and Counter-Terrorism and semantic analysis of data carrying...",2023-10-14 10:25:00,17519,Published
408,sommer.eu,SOMMER is one of Europe's leading manufacturers of high-quality garage door openers and wireless control systems. The SOMMER Group is active globally with its own branch offices and representatives. Our hardware and software is developed completely...,2023-10-14 10:25:00,7343,Published
409,sbhc.us,"Southwest Behavioral Health Center (SBHC), created in 1986, is a public provider of comprehensive, integrated mental health and addiction services, offering outpatient, residential, school-based, and community-based programs and services to individua...",2023-10-14 10:25:00,17461,Published
410,islandinsurance.ca,"Island Insurance is owned and operated by Gurpreet Khaira, Balwinder Khaira, and Harjinder Basra. Staff consists of level 2 brokers and have over 50 years of combined experience in the insurance business.",2023-10-14 10:25:00,16972,Published
411,mangiainc.com,"Mangia, Inc.™ is an Italian producer and exporter of Italian tomatoes and beans produced in Italy and sold through food service & retail distributors.",2023-10-14 10:25:00,17189,Published
412,thesoftwareconsultinggroup.com,"SCG is an independent licensing advisory firm that helps private and public organizations around the world understand, navigate and manage their software licensing. Our leading services and solutions reduce your costs, mitigate risk, and improve oper...",2023-10-14 10:25:00,23391,Published
413,mitchcointernational.com,"Mitchco International is a privately owned defense contractor focused on providing staffing and food service support to military facilities throughout the United States. Mitchco International based in Louisville, KY, and offer food service support to...",2023-10-14 10:26:00,3653,Published
414,hkiff.org.hk,"The Hong Kong International Film Festival Society (HKIFFS) is a charitable, non-profit and non-governmental organisation dedicated to the discovery and promotion of creativity in the art and culture of film.",2023-10-14 10:26:00,17712,Published
415,joriszorg.nl,100gb,2023-10-14 10:26:00,18603,Published
416,pinelandschool.org,64gb,2023-10-14 10:27:00,3559,Published
417,psenergy.com,first part of data,2023-10-14 10:27:00,18319,Published
